Component,Category,Description,Part Number,Qty,Unit Price,Extended,Source,Notes,Validated,FMEA RPN
"Sensirion SEN66",Sensors,"All-in-one air quality (PM/VOC/NOx/CO2)",SEN66,1,$45.00,$45.00,sensirion.com,Environmental,Jan 2026,36
"ams AS7343",Sensors,"14-channel spectral light sensor",AS7343,1,$8.00,$8.00,ams-osram.com,Light measurement,Jan 2026,18
"AH49E Hall Sensor",Sensors,"Dock detection",AH49E,1,$0.80,$0.80,digikey.com,Dock sensing,Jan 2026,12
"LiPo 3S 2200mAh Compact",Power,"24Wh 4-6hr runtime - VERIFIED 55×35×20mm fits",Custom,1,$22.00,$22.00,aliexpress.com,"Battery - 4000mAh (131mm) TOO LARGE",Jan 2026,90
"BQ25895RTWR",Power,"5A buck-boost charger IC",BQ25895RTWR,1,$4.26,$4.26,digikey.com,Charge controller,Jan 2026,54
"BQ40Z50RSMR-R1",Power,"Smart battery fuel gauge",BQ40Z50RSMR-R1,1,$5.85,$5.85,digikey.com,Battery management,Jan 2026,32
"Renesas P9415-R",Power,"15W wireless power receiver",P9415-R,1,$12.00,$12.00,renesas.com,Wireless charging,Jan 2026,105
"RX Coil 70mm Compact",Power,"Litz wire, 18 turns, 85uH",Custom,1,$20.00,$20.00,Custom,Resonant receiver,Jan 2026,72
"Ferrite Shield 60x60mm",Power,"Fair-Rite Mn-Zn flexible",38M4050AA0606,1,$15.31,$15.31,digikey.com,EMI shielding,Jan 2026,24
"85mm Sphere Shell",Enclosure,"SLA prototype / injection prod",Custom,2,$25.00,$50.00,protolabs.com,Outer housing,Jan 2026,48
"Internal Frame",Enclosure,"3D printed, CF-PETG",Custom,1,$15.00,$15.00,Form 4,Structural,Jan 2026,24
"Thermal Pad 1mm",Thermal,"6W/mK silicone, 100x100mm",Various,1,$8.00,$8.00,amazon.com,Heat transfer,Jan 2026,18
"Heatsink 14x14x6mm",Thermal,"Aluminum fin heatsink",Various,2,$0.50,$1.00,aliexpress.com,SoC cooling,Jan 2026,12
"","","","ORB V3 SUBTOTAL","","","$1027.16","","",""
"HCNT Naked Maglev Module",Base Station,"500g-2kg capacity, CE/FCC/RoHS",HCNT-001,1,$45.00,$45.00,alibaba.com,Levitation platform,Jan 2026,56
"Mean Well GST60A24",Base Station,"24V 2.5A 60W adapter",GST60A24-P1J,1,$18.60,$18.60,digikey.com,Base power,Jan 2026,18
"DC Barrel Jack",Base Station,"5.5x2.1mm panel mount",PJ-002AH,1,$2.00,$2.00,digikey.com,Power input,Jan 2026,6
"TX Coil 70mm",Base Station,"Litz wire, 14 turns, 40uH",Custom,1,$20.00,$20.00,Custom,Resonant TX,Jan 2026,48
"Ferrite Plate 150x100mm",Base Station,"Fair-Rite Mn-Zn",3595000541,1,$28.32,$28.32,trustedparts.com,TX shielding,Jan 2026,18
"bq500215 TX Controller",Base Station,"Resonant TX IC",bq500215,1,$15.00,$15.00,ti.com,TX driver,Jan 2026,36
"IRS2011 Full-Bridge Driver",Base Station,"Resonant power driver",IRS2011SPBF,1,$5.00,$5.00,digikey.com,TX driver,Jan 2026,24
"ESP32-S3-WROOM-1-N8R8",Base Station,"Base controller",ESP32-S3-WROOM-1-N8R8,1,$6.13,$6.13,digikey.com,Base MCU,Jan 2026,18
"SK6812 Base Ring 8",Base Station,"Status indicator LEDs",SK6812-8,1,$4.00,$4.00,adafruit.com,Status LEDs,Jan 2026,12
"Walnut Block 180x180x50mm",Base Enclosure,"Premium wood base",Custom,1,$40.00,$40.00,rockler.com,Aesthetic,Jan 2026,12
"","","","BASE STATION SUBTOTAL","","","$184.05","","",""
"","","","","","","","","",""
"","","OUTDOOR CANOPY ADDON (OPTIONAL)","","","","","","",""
"Copper Canopy Dome 300mm",Outdoor Addon,"Spun copper, 5deg slope",Custom,1,$200.00,$200.00,Local metal spinner,Weather protection,Jan 2026,24
"Support Arms 304SS x3",Outdoor Addon,"250mm stainless, powder coated",SendCutSend,3,$8.00,$24.00,sendcutsend.com,Structural,Jan 2026,18
"Walnut Mount Ring 200mm",Outdoor Addon,"CNC machined, matches base",Custom,1,$40.00,$40.00,Local CNC,Aesthetic,Jan 2026,12
"M4 Hardware",Outdoor Addon,"Threaded inserts + bolts SS",Various,1,$8.00,$8.00,mcmaster.com,Assembly,Jan 2026,6
"Silicone Sealant",Outdoor Addon,"Clear outdoor rated",GE Supreme,1,$8.00,$8.00,homedepot.com,Weatherproofing,Jan 2026,6
"","","","OUTDOOR ADDON SUBTOTAL","","","$280.00","","",""
"","","","","","","","","",""
"","","V3 CONFIGURATION PRICING (JAN 2026)","","","","","","",""
"V3 Orb Only","Config","85mm compact with living eye",-,1,$1027.16,$1027.16,-,Complete orb,Jan 2026,
"Single Base","Config","Maglev charging base",-,1,$184.05,$184.05,-,-,Jan 2026,
"V3 Starter Kit","Config","1 V3 Orb + 1 Base",-,1,$1211.21,$1211.21,-,RECOMMENDED,Jan 2026,
"V3 Two-Base","Config","1 V3 Orb + 2 Bases",-,1,$1395.26,$1395.26,-,Home + Office,Jan 2026,
"V3 Outdoor Combo","Config","1 V3 Orb + 1 Base + 1 Canopy",-,1,$1491.21,$1491.21,-,Indoor/Outdoor,Jan 2026,
"","","","","","","","","",""
"","","VOLUME PRICING (PER UNIT)","","","","","","",""
"V3 Orb Qty 1","Volume","Prototype build",-,1,$1027.16,$1027.16,-,-,-,
"V3 Orb Qty 10","Volume","Dev kit batch",-,10,$976.00,$9760.00,-,5% volume discount,-,
"V3 Orb Qty 100","Volume","Pilot production",-,100,$708.00,$70800.00,-,+ $8K tooling,-,
"V3 Orb Qty 500","Volume","Initial production",-,500,$620.00,$310000.00,-,+ $15K tooling,-,
"V3 Orb Qty 1000","Volume","Volume production",-,1000,$542.00,$542000.00,-,Under $599 target,-,
